time,x1,y1,v1,r1,x2,y2,v2,r2,x3,y3,v3,r3
1716558459.250444,0,0,0,0,0,0,0,0,0,0,0,0
1716558459.339491,0,0,0,0,0,0,0,0,0,0,0,0
1716558459.428677,0,0,0,0,0,0,0,0,0,0,0,0
1716558459.517380,0,0,0,0,0,0,0,0,0,0,0,0
1716558459.606436,0,0,0,0,0,0,0,0,0,0,0,0
1716558459.695429,0,0,0,0,0,0,0,0,0,0,0,0
1716558459.784476,0,0,0,0,0,0,0,0,0,0,0,0
1716558459.873312,0,0,0,0,0,0,0,0,0,0,0,0
1716558459.962211,0,0,0,0,0,0,0,0,0,0,0,0
1716558460.051207,0,0,0,0,0,0,0,0,0,0,0,0
1716558460.140341,0,0,0,0,0,0,0,0,0,0,0,0
1716558460.229284,0,0,0,0,0,0,0,0,0,0,0,0
1716558460.318000,0,0,0,0,0,0,0,0,0,0,0,0
1716558460.407388,0,0,0,0,0,0,0,0,0,0,0,0
1716558460.496318,0,0,0,0,0,0,0,0,0,0,0,0
1716558460.585131,0,0,0,0,0,0,0,0,0,0,0,0
1716558460.674224,0,0,0,0,0,0,0,0,0,0,0,0
1716558460.763275,0,0,0,0,0,0,0,0,0,0,0,0
1716558460.852319,0,0,0,0,0,0,0,0,0,0,0,0
1716558460.941368,0,0,0,0,0,0,0,0,0,0,0,0
1716558461.030296,0,0,0,0,0,0,0,0,0,0,0,0
1716558461.119425,0,0,0,0,0,0,0,0,0,0,0,0
1716558461.208166,0,0,0,0,0,0,0,0,0,0,0,0
1716558461.297237,0,0,0,0,0,0,0,0,0,0,0,0
1716558461.386117,0,0,0,0,0,0,0,0,0,0,0,0
1716558461.475330,0,0,0,0,0,0,0,0,0,0,0,0
1716558461.564042,0,0,0,0,0,0,0,0,0,0,0,0
1716558461.653197,0,0,0,0,0,0,0,0,0,0,0,0
1716558461.742091,0,0,0,0,0,0,0,0,0,0,0,0
1716558461.831337,0,0,0,0,0,0,0,0,0,0,0,0
1716558461.920094,0,0,0,0,0,0,0,0,0,0,0,0
1716558462.009313,0,0,0,0,0,0,0,0,0,0,0,0
1716558462.098071,0,0,0,0,0,0,0,0,0,0,0,0
1716558462.187210,0,0,0,0,0,0,0,0,0,0,0,0
1716558462.275971,0,0,0,0,0,0,0,0,0,0,0,0
1716558462.365280,0,0,0,0,0,0,0,0,0,0,0,0
1716558462.454237,0,0,0,0,0,0,0,0,0,0,0,0
1716558462.543270,0,0,0,0,0,0,0,0,0,0,0,0
1716558462.632119,0,0,0,0,0,0,0,0,0,0,0,0
1716558462.721189,0,0,0,0,0,0,0,0,0,0,0,0
1716558462.810141,0,0,0,0,0,0,0,0,0,0,0,0
1716558462.899231,0,0,0,0,0,0,0,0,0,0,0,0
1716558462.988075,0,0,0,0,0,0,0,0,0,0,0,0
1716558463.077087,0,0,0,0,0,0,0,0,0,0,0,0
1716558463.166022,0,0,0,0,0,0,0,0,0,0,0,0
1716558463.254759,0,0,0,0,0,0,0,0,0,0,0,0
1716558463.343745,0,0,0,0,0,0,0,0,0,0,0,0
1716558463.432921,0,0,0,0,0,0,0,0,0,0,0,0
1716558463.521885,0,0,0,0,0,0,0,0,0,0,0,0
1716558463.610886,0,0,0,0,0,0,0,0,0,0,0,0
1716558463.699802,0,0,0,0,0,0,0,0,0,0,0,0
1716558463.789010,0,0,0,0,0,0,0,0,0,0,0,0
1716558463.877870,0,0,0,0,0,0,0,0,0,0,0,0
1716558463.967117,0,0,0,0,0,0,0,0,0,0,0,0
1716558464.055997,0,0,0,0,0,0,0,0,0,0,0,0
1716558464.144605,0,0,0,0,0,0,0,0,0,0,0,0
1716558464.233723,0,0,0,0,0,0,0,0,0,0,0,0
1716558464.322771,0,0,0,0,0,0,0,0,0,0,0,0
1716558464.411850,0,0,0,0,0,0,0,0,0,0,0,0
1716558464.500787,0,0,0,0,0,0,0,0,0,0,0,0
1716558464.589682,0,0,0,0,0,0,0,0,0,0,0,0
1716558464.678812,0,0,0,0,0,0,0,0,0,0,0,0
1716558464.767739,0,0,0,0,0,0,0,0,0,0,0,0
1716558464.856833,0,0,0,0,0,0,0,0,0,0,0,0
1716558464.945817,0,0,0,0,0,0,0,0,0,0,0,0
1716558465.034850,0,0,0,0,0,0,0,0,0,0,0,0
1716558465.123794,0,0,0,0,0,0,0,0,0,0,0,0
1716558465.212651,0,0,0,0,0,0,0,0,0,0,0,0
1716558465.301781,0,0,0,0,0,0,0,0,0,0,0,0
1716558465.390738,0,0,0,0,0,0,0,0,0,0,0,0
1716558465.480012,0,0,0,0,0,0,0,0,0,0,0,0
1716558465.568530,0,0,0,0,0,0,0,0,0,0,0,0
1716558465.657858,0,0,0,0,0,0,0,0,0,0,0,0
1716558465.746559,0,0,0,0,0,0,0,0,0,0,0,0
1716558465.835821,0,0,0,0,0,0,0,0,0,0,0,0
1716558465.924487,0,0,0,0,0,0,0,0,0,0,0,0
1716558466.013920,0,0,0,0,0,0,0,0,0,0,0,0
1716558466.102479,0,0,0,0,0,0,0,0,0,0,0,0
1716558466.191815,0,0,0,0,0,0,0,0,0,0,0,0
1716558466.280621,0,0,0,0,0,0,0,0,0,0,0,0
1716558466.369745,0,0,0,0,0,0,0,0,0,0,0,0
1716558466.458595,0,0,0,0,0,0,0,0,0,0,0,0
1716558466.547752,0,0,0,0,0,0,0,0,0,0,0,0
1716558466.636574,0,0,0,0,0,0,0,0,0,0,0,0
1716558466.725744,0,0,0,0,0,0,0,0,0,0,0,0
1716558466.814277,0,0,0,0,0,0,0,0,0,0,0,0
1716558466.903779,0,0,0,0,0,0,0,0,0,0,0,0
1716558466.992412,0,0,0,0,0,0,0,0,0,0,0,0
1716558467.081684,0,0,0,0,0,0,0,0,0,0,0,0
1716558467.170441,0,0,0,0,0,0,0,0,0,0,0,0
1716558467.259710,0,0,0,0,0,0,0,0,0,0,0,0
1716558467.348491,0,0,0,0,0,0,0,0,0,0,0,0
1716558467.437475,0,0,0,0,0,0,0,0,0,0,0,0
1716558467.526356,0,0,0,0,0,0,0,0,0,0,0,0
1716558467.615412,0,0,0,0,0,0,0,0,0,0,0,0
1716558467.704444,0,0,0,0,0,0,0,0,0,0,0,0
1716558467.793459,0,0,0,0,0,0,0,0,0,0,0,0
1716558467.882270,0,0,0,0,0,0,0,0,0,0,0,0
1716558467.971358,0,0,0,0,0,0,0,0,0,0,0,0
1716558468.060460,0,0,0,0,0,0,0,0,0,0,0,0
1716558468.149412,0,0,0,0,0,0,0,0,0,0,0,0
1716558468.238415,0,0,0,0,0,0,0,0,0,0,0,0
1716558468.327419,0,0,0,0,0,0,0,0,0,0,0,0
1716558468.416395,0,0,0,0,0,0,0,0,0,0,0,0
1716558468.505443,0,0,0,0,0,0,0,0,0,0,0,0
1716558468.594396,0,0,0,0,0,0,0,0,0,0,0,0
1716558468.683451,0,0,0,0,0,0,0,0,0,0,0,0
1716558468.772293,0,0,0,0,0,0,0,0,0,0,0,0
1716558468.861218,0,0,0,0,0,0,0,0,0,0,0,0
1716558468.950311,0,0,0,0,0,0,0,0,0,0,0,0
1716558469.039296,0,0,0,0,0,0,0,0,0,0,0,0
1716558469.128287,0,0,0,0,0,0,0,0,0,0,0,0
1716558469.217324,0,0,0,0,0,0,0,0,0,0,0,0
1716558469.306389,0,0,0,0,0,0,0,0,0,0,0,0
1716558469.395130,0,0,0,0,0,0,0,0,0,0,0,0
1716558469.484380,0,0,0,0,0,0,0,0,0,0,0,0
1716558469.573268,0,0,0,0,0,0,0,0,0,0,0,0
1716558469.662178,0,0,0,0,0,0,0,0,0,0,0,0
1716558469.751166,0,0,0,0,0,0,0,0,0,0,0,0
1716558469.840214,0,0,0,0,0,0,0,0,0,0,0,0
1716558469.929158,0,0,0,0,0,0,0,0,0,0,0,0
1716558470.018316,0,0,0,0,0,0,0,0,0,0,0,0
1716558470.107243,0,0,0,0,0,0,0,0,0,0,0,0
1716558470.196229,0,0,0,0,0,0,0,0,0,0,0,0
1716558470.284998,0,0,0,0,0,0,0,0,0,0,0,0
1716558470.374287,0,0,0,0,0,0,0,0,0,0,0,0
1716558470.462915,0,0,0,0,0,0,0,0,0,0,0,0
1716558470.552130,0,0,0,0,0,0,0,0,0,0,0,0
1716558470.641129,0,0,0,0,0,0,0,0,0,0,0,0
1716558470.730166,0,0,0,0,0,0,0,0,0,0,0,0
1716558470.819048,0,0,0,0,0,0,0,0,0,0,0,0
1716558470.908217,0,0,0,0,0,0,0,0,0,0,0,0
1716558470.996943,0,0,0,0,0,0,0,0,0,0,0,0
1716558471.085943,0,0,0,0,0,0,0,0,0,0,0,0
1716558471.174988,0,0,0,0,0,0,0,0,0,0,0,0
1716558471.263929,0,0,0,0,0,0,0,0,0,0,0,0
1716558471.353003,0,0,0,0,0,0,0,0,0,0,0,0
1716558471.442141,0,0,0,0,0,0,0,0,0,0,0,0
1716558471.530972,0,0,0,0,0,0,0,0,0,0,0,0
1716558471.620039,0,0,0,0,0,0,0,0,0,0,0,0
1716558471.708908,0,0,0,0,0,0,0,0,0,0,0,0
1716558471.797758,0,0,0,0,0,0,0,0,0,0,0,0
1716558471.886970,0,0,0,0,0,0,0,0,0,0,0,0
1716558471.975997,0,0,0,0,0,0,0,0,0,0,0,0
1716558472.064857,0,0,0,0,0,0,0,0,0,0,0,0
1716558472.153845,0,0,0,0,0,0,0,0,0,0,0,0
1716558472.242800,0,0,0,0,0,0,0,0,0,0,0,0
1716558472.331637,0,0,0,0,0,0,0,0,0,0,0,0
1716558472.420953,0,0,0,0,0,0,0,0,0,0,0,0
1716558472.509824,0,0,0,0,0,0,0,0,0,0,0,0
1716558472.598914,0,0,0,0,0,0,0,0,0,0,0,0
1716558472.687900,0,0,0,0,0,0,0,0,0,0,0,0
1716558472.776548,0,0,0,0,0,0,0,0,0,0,0,0
1716558472.865924,0,0,0,0,0,0,0,0,0,0,0,0
1716558472.954544,0,0,0,0,0,0,0,0,0,0,0,0
1716558473.043678,0,0,0,0,0,0,0,0,0,0,0,0
1716558473.132682,0,0,0,0,0,0,0,0,0,0,0,0
1716558473.221616,0,0,0,0,0,0,0,0,0,0,0,0
1716558473.310833,0,0,0,0,0,0,0,0,0,0,0,0
1716558473.399795,0,0,0,0,0,0,0,0,0,0,0,0
1716558473.488905,0,0,0,0,0,0,0,0,0,0,0,0
1716558473.577878,0,0,0,0,0,0,0,0,0,0,0,0
1716558473.666835,0,0,0,0,0,0,0,0,0,0,0,0
1716558473.755533,0,0,0,0,0,0,0,0,0,0,0,0
1716558473.844725,0,0,0,0,0,0,0,0,0,0,0,0
1716558473.933692,0,0,0,0,0,0,0,0,0,0,0,0
1716558474.022662,0,0,0,0,0,0,0,0,0,0,0,0
1716558474.111563,0,0,0,0,0,0,0,0,0,0,0,0
1716558474.200606,0,0,0,0,0,0,0,0,0,0,0,0
1716558474.289522,0,0,0,0,0,0,0,0,0,0,0,0
1716558474.378779,0,0,0,0,0,0,0,0,0,0,0,0
1716558474.467587,0,0,0,0,0,0,0,0,0,0,0,0
1716558474.556678,0,0,0,0,0,0,0,0,0,0,0,0
1716558474.645597,0,0,0,0,0,0,0,0,0,0,0,0
1716558474.734771,0,0,0,0,0,0,0,0,0,0,0,0
1716558474.823423,0,0,0,0,0,0,0,0,0,0,0,0
1716558474.912389,0,0,0,0,0,0,0,0,0,0,0,0
1716558475.001555,0,0,0,0,0,0,0,0,0,0,0,0
1716558475.090714,0,0,0,0,0,0,0,0,0,0,0,0
1716558475.179544,0,0,0,0,0,0,0,0,0,0,0,0
